"plate","well_position","sample","sample_old","field_collection_month","site","filter_half","target","Cq","quantity","positive","dCq"
"P20190530_HH_FebMarch2019FC","A1","201903_BH_1a","20190311_BH_1a",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","A2","201903_BH_1a","20190311_BH_1a",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","A3","201903_BH_2a","20190311_BH_2a",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","A4","201903_BH_2a","20190311_BH_2a",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","A5","201903_BH_3a","20190311_BH_3a",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","A6","201903_BH_3a","20190311_BH_3a",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","A7","201903_BH_4a","20190311_BH_4a",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","A8","201903_BH_4a","20190311_BH_4a",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","A9","201903_BH_5a","20190311_BH_5a",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","A10","201903_BH_5a","20190311_BH_5a",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","A11","201903_BH_6a","20190311_BH_6a",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","A12","201903_BH_6a","20190311_BH_6a",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","A13","201903_BH_7a","20190311_BH_7a",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","A14","201903_BH_7a","20190311_BH_7a",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","A15","201903_BH_8a","20190311_BH_8a",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","A16","201903_BH_8a","20190311_BH_8a",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","A17","201903_BH_9a","20190311_BH_9a",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","A18","201903_BH_9a","20190311_BH_9a",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","A19","201903_BH_10a","20190311_BH_10a",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","A20","201903_BH_10a","20190311_BH_10a",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","A21","201903_BH_ECa","20190311_BH_ECa",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","A22","201903_BH_ECa","20190311_BH_ECa",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","A23","201903_BH_EBa","20190311_BH_EBa",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","A24","201903_BH_EBa","20190311_BH_EBa",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","B1","201903_BH_1a","20190311_BH_1a",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","B2","201903_BH_1a","20190311_BH_1a",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","B3","201903_BH_2a","20190311_BH_2a",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","B4","201903_BH_2a","20190311_BH_2a",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","B5","201903_BH_3a","20190311_BH_3a",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","B6","201903_BH_3a","20190311_BH_3a",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","B7","201903_BH_4a","20190311_BH_4a",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","B8","201903_BH_4a","20190311_BH_4a",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","B9","201903_BH_5a","20190311_BH_5a",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","B10","201903_BH_5a","20190311_BH_5a",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","B11","201903_BH_6a","20190311_BH_6a",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","B12","201903_BH_6a","20190311_BH_6a",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","B13","201903_BH_7a","20190311_BH_7a",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","B14","201903_BH_7a","20190311_BH_7a",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","B15","201903_BH_8a","20190311_BH_8a",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","B16","201903_BH_8a","20190311_BH_8a",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","B17","201903_BH_9a","20190311_BH_9a",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","B18","201903_BH_9a","20190311_BH_9a",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","B19","201903_BH_10a","20190311_BH_10a",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","B20","201903_BH_10a","20190311_BH_10a",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","B21","201903_BH_ECa","20190311_BH_ECa",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","B22","201903_BH_ECa","20190311_BH_ECa",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","B23","201903_BH_EBa","20190311_BH_EBa",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","B24","201903_BH_EBa","20190311_BH_EBa",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","C1","201903_BH_1a","20190311_BH_1a",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","C2","201903_BH_1a","20190311_BH_1a",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
