"site_name","date","sample_id","sample_no","sample_less","sample","concentration","date_extracted","field_collection_month","filtration_time","latitude","longitude","depth_ft","water_temp_f","flow","tide","collected_by"
"Sasa Bay",2019-02-28,"SB NA EB","EB","SB_EBa","201902_SB_EBa",NA,"28/4/19",Feb 2019,NA,NA,NA,NA,NA,"","",""
"Sasa Bay",2019-02-28,"SB 10 EC","EC","SB_ECa","201902_SB_ECa",NA,"28/4/19",Feb 2019,2,NA,NA,NA,NA,"Slow","","MM, MD, JP"
"Sasa Bay",2019-02-28,"SB 10 1","1","SB_1a","201902_SB_1a",15,"28/4/19",Feb 2019,7,13.447,144.67444,30,79.63,"Slow","","MM, MD, JP"
"Sasa Bay",2019-02-28,"SB 10 2","2","SB_2a","201902_SB_2a",11,"28/4/19",Feb 2019,6,NA,NA,NA,NA,"Slow","","MM, MD, JP"
"Sasa Bay",2019-02-28,"SB 10 3","3","SB_3a","201902_SB_3a",9.8,"28/4/19",Feb 2019,4,NA,NA,NA,NA,"Slow","","MM, MD, JP"
"Sasa Bay",2019-02-28,"SB 10 4","4","SB_4a","201902_SB_4a",9.3,"28/4/19",Feb 2019,5,NA,NA,NA,NA,"Slow","","MM, MD, JP"
"Sasa Bay",2019-02-28,"SB 10 5","5","SB_5a","201902_SB_5a",9.4,"28/4/19",Feb 2019,6,NA,NA,NA,NA,"Slow","","MM, MD, JP"
"Sasa Bay",2019-02-28,"SB 10 6","6","SB_6a","201902_SB_6a",5.8,"28/4/19",Feb 2019,4,NA,NA,NA,NA,"Slow","","MM, MD, JP"
"Sasa Bay",2019-02-28,"SB 10 7","7","SB_7a","201902_SB_7a",7.1,"28/4/19",Feb 2019,4,NA,NA,NA,NA,"Slow","","MM, MD, JP"
"Sasa Bay",2019-02-28,"SB 10 8","8","SB_8a","201902_SB_8a",17,"28/4/19",Feb 2019,5,NA,NA,NA,NA,"Slow","","MM, MD, JP"
"Sasa Bay",2019-02-28,"SB 10 9","9","SB_9a","201902_SB_9a",9.3,"28/4/19",Feb 2019,6,NA,NA,NA,NA,"Slow","","MM, MD, JP"
"Sasa Bay",2019-02-28,"SB 10 10","10","SB_10a","201902_SB_10a",8,"28/4/19",Feb 2019,5,NA,NA,NA,NA,"Slow","","MM, MD, JP"
"Middle Shoals",2019-02-28,"MS NA EB","EB","MS_EBa","201902_MS_EBa",NA,"2/5/19",Feb 2019,NA,NA,NA,NA,NA,"","",""
"Middle Shoals",2019-02-28,"MS 10 EC","EC","MS_ECa","201902_MS_ECa",NA,"2/5/19",Feb 2019,0,NA,NA,NA,NA,"Slow","","MM, MD, JP"
"Middle Shoals",2019-02-28,"MS 10 1","1","MS_1a","201902_MS_1a",9.1,"2/5/19",Feb 2019,4,13.44908,144.65746,93,79.86,"Slow","","MM, MD, JP"
"Middle Shoals",2019-02-28,"MS 10 2","2","MS_2a","201902_MS_2a",7.9,"2/5/19",Feb 2019,4,NA,NA,NA,NA,"Slow","","MM, MD, JP"
"Middle Shoals",2019-02-28,"MS 10 3","3","MS_3a","201902_MS_3a",7.9,"2/5/19",Feb 2019,4,NA,NA,NA,NA,"Slow","","MM, MD, JP"
"Middle Shoals",2019-02-28,"MS 10 4","4","MS_4a","201902_MS_4a",7.8,"2/5/19",Feb 2019,4,NA,NA,NA,NA,"Slow","","MM, MD, JP"
"Middle Shoals",2019-02-28,"MS 10 5","5","MS_5a","201902_MS_5a",4.92,"2/5/19",Feb 2019,4,NA,NA,NA,NA,"Slow","","MM, MD, JP"
"Middle Shoals",2019-02-28,"MS 10 6","6","MS_6a","201902_MS_6a",6.4,"2/5/19",Feb 2019,4,NA,NA,NA,NA,"Slow","","MM, MD, JP"
"Middle Shoals",2019-02-28,"MS 10 7","7","MS_7a","201902_MS_7a",5.2,"2/5/19",Feb 2019,5,NA,NA,NA,NA,"Slow","","MM, MD, JP"
