"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES"
"GQC00914001","AGAT, GU GQ","13.38944","144.6575","3.0","2010-01-01",,,,,"0.0",",,0","0.0","P,,0","0.0","P,,0"
"GQC00914001","AGAT, GU GQ","13.38944","144.6575","3.0","2010-01-02",,,,,,,"0.0","P,,0","0.0","P,,0"
"GQC00914001","AGAT, GU GQ","13.38944","144.6575","3.0","2010-01-03",,,,,,,"0.0","P,,0","0.0","P,,0"
"GQC00914001","AGAT, GU GQ","13.38944","144.6575","3.0","2010-01-04",,,,,,,"0.0","P,,0","0.0","P,,0"
"GQC00914001","AGAT, GU GQ","13.38944","144.6575","3.0","2010-01-05","    4",",,0","20.3",",,0",,,"0.0","P,,0","0.0","P,,0"
"GQC00914001","AGAT, GU GQ","13.38944","144.6575","3.0","2010-01-06",,,,,"5.1",",,0","0.0","P,,0","0.0","P,,0"
"GQC00914001","AGAT, GU GQ","13.38944","144.6575","3.0","2010-01-07",,,,,"0.0",",,0","0.0","P,,0","0.0","P,,0"
"GQC00914001","AGAT, GU GQ","13.38944","144.6575","3.0","2010-01-08",,,,,"0.0",",,0","0.0","P,,0","0.0","P,,0"
"GQC00914001","AGAT, GU GQ","13.38944","144.6575","3.0","2010-01-09",,,,,"0.5",",,0","0.0","P,,0","0.0","P,,0"
"GQC00914001","AGAT, GU GQ","13.38944","144.6575","3.0","2010-01-10",,,,,"0.0",",,0","0.0","P,,0","0.0","P,,0"
"GQC00914001","AGAT, GU GQ","13.38944","144.6575","3.0","2010-01-11",,,,,"15.7",",,0","0.0","P,,0","0.0","P,,0"
"GQC00914001","AGAT, GU GQ","13.38944","144.6575","3.0","2010-01-12",,,,,"0.5",",,0","0.0","P,,0","0.0","P,,0"
"GQC00914001","AGAT, GU GQ","13.38944","144.6575","3.0","2010-01-13",,,,,"4.3",",,0","0.0","P,,0","0.0","P,,0"
"GQC00914001","AGAT, GU GQ","13.38944","144.6575","3.0","2010-01-14",,,,,,,"0.0","P,,0","0.0","P,,0"
"GQC00914001","AGAT, GU GQ","13.38944","144.6575","3.0","2010-01-15","    2",",,0","4.1",",,0",,,"0.0","P,,0","0.0","P,,0"
"GQC00914001","AGAT, GU GQ","13.38944","144.6575","3.0","2010-01-16",,,,,,,"0.0","P,,0","0.0","P,,0"
"GQC00914001","AGAT, GU GQ","13.38944","144.6575","3.0","2010-01-17",,,,,,,"0.0","P,,0","0.0","P,,0"
"GQC00914001","AGAT, GU GQ","13.38944","144.6575","3.0","2010-01-18",,,,,,,"0.0","P,,0","0.0","P,,0"
"GQC00914001","AGAT, GU GQ","13.38944","144.6575","3.0","2010-01-19",,,,,,,"0.0","P,,0","0.0","P,,0"
"GQC00914001","AGAT, GU GQ","13.38944","144.6575","3.0","2010-01-20","    5",",,0","37.1",",,0",,,"0.0","P,,0","0.0","P,,0"
"GQC00914001","AGAT, GU GQ","13.38944","144.6575","3.0","2010-01-21",,,,,,,"0.0","P,,0","0.0","P,,0"
"GQC00914001","AGAT, GU GQ","13.38944","144.6575","3.0","2010-01-22",,,,,,,"0.0","P,,0","0.0","P,,0"
"GQC00914001","AGAT, GU GQ","13.38944","144.6575","3.0","2010-01-23",,,,,,,"0.0","P,,0","0.0","P,,0"
"GQC00914001","AGAT, GU GQ","13.38944","144.6575","3.0","2010-01-24",,,,,,,"0.0","P,,0","0.0","P,,0"
"GQC00914001","AGAT, GU GQ","13.38944","144.6575","3.0","2010-01-25",,,,,,,"0.0","P,,0","0.0","P,,0"
"GQC00914001","AGAT, GU GQ","13.38944","144.6575","3.0","2010-01-26",,,,,,,"0.0","P,,0","0.0","P,,0"
"GQC00914001","AGAT, GU GQ","13.38944","144.6575","3.0","2010-01-27","    7",",,0","6.6",",,0",,,"0.0","P,,0","0.0","P,,0"
"GQC00914001","AGAT, GU GQ","13.38944","144.6575","3.0","2010-01-28",,,,,,,"0.0","P,,0","0.0","P,,0"
"GQC00914001","AGAT, GU GQ","13.38944","144.6575","3.0","2010-01-29","    2",",,0","2.8",",,0",,,"0.0","P,,0","0.0","P,,0"
"GQC00914001","AGAT, GU GQ","13.38944","144.6575","3.0","2010-01-30",,,,,,,"0.0","P,,0","0.0","P,,0"
"GQC00914001","AGAT, GU GQ","13.38944","144.6575","3.0","2010-01-31",,,,,,,"0.0","P,,0","0.0","P,,0"
"GQC00914001","AGAT, GU GQ","13.38944","144.6575","3.0","2010-02-01",,,,,,,"0.0","P,,0","0.0","P,,0"
"GQC00914001","AGAT, GU GQ","13.38944","144.6575","3.0","2010-02-02","    4",",,0","2.3",",,0",,,"0.0","P,,0","0.0","P,,0"
"GQC00914001","AGAT, GU GQ","13.38944","144.6575","3.0","2010-02-03",,,,,"0.0",",,0","0.0","P,,0","0.0","P,,0"
"GQC00914001","AGAT, GU GQ","13.38944","144.6575","3.0","2010-02-04",,,,,"0.0",",,0","0.0","P,,0","0.0","P,,0"
"GQC00914001","AGAT, GU GQ","13.38944","144.6575","3.0","2010-02-05",,,,,"0.0",",,0","0.0","P,,0","0.0","P,,0"
"GQC00914001","AGAT, GU GQ","13.38944","144.6575","3.0","2010-02-06",,,,,"0.0",",,0","0.0","P,,0","0.0","P,,0"
"GQC00914001","AGAT, GU GQ","13.38944","144.6575","3.0","2010-02-07",,,,,"0.0",",,0","0.0","P,,0","0.0","P,,0"
"GQC00914001","AGAT, GU GQ","13.38944","144.6575","3.0","2010-02-08",,,,,"0.5",",,0","0.0","P,,0","0.0","P,,0"
"GQC00914001","AGAT, GU GQ","13.38944","144.6575","3.0","2010-02-09",,,,,,,"0.0","P,,0","0.0","P,,0"
"GQC00914001","AGAT, GU GQ","13.38944","144.6575","3.0","2010-02-10","    2",",,0","1.0",",,0",,,"0.0","P,,0","0.0","P,,0"
"GQC00914001","AGAT, GU GQ","13.38944","144.6575","3.0","2010-02-11",,,,,"0.8",",,0","0.0","P,,0","0.0","P,,0"
"GQC00914001","AGAT, GU GQ","13.38944","144.6575","3.0","2010-02-12",,,,,"0.0",",,0","0.0","P,,0","0.0","P,,0"
"GQC00914001","AGAT, GU GQ","13.38944","144.6575","3.0","2010-02-13",,,,,"0.0",",,0","0.0","P,,0","0.0","P,,0"
"GQC00914001","AGAT, GU GQ","13.38944","144.6575","3.0","2010-02-14",,,,,"0.0",",,0","0.0","P,,0","0.0","P,,0"
"GQC00914001","AGAT, GU GQ","13.38944","144.6575","3.0","2010-02-15",,,,,"0.0",",,0","0.0","P,,0","0.0","P,,0"
"GQC00914001","AGAT, GU GQ","13.38944","144.6575","3.0","2010-02-16",,,,,"0.0",",,0","0.0","P,,0","0.0","P,,0"
"GQC00914001","AGAT, GU GQ","13.38944","144.6575","3.0","2010-02-17",,,,,"0.0",",,0","0.0","P,,0","0.0","P,,0"
"GQC00914001","AGAT, GU GQ","13.38944","144.6575","3.0","2010-02-18",,,,,"0.0",",,0","0.0","P,,0","0.0","P,,0"
"GQC00914001","AGAT, GU GQ","13.38944","144.6575","3.0","2010-02-19",,,,,"0.0",",,0","0.0","P,,0","0.0","P,,0"
"GQC00914001","AGAT, GU GQ","13.38944","144.6575","3.0","2010-02-20",,,,,,,"0.0","P,,0","0.0","P,,0"
"GQC00914001","AGAT, GU GQ","13.38944","144.6575","3.0","2010-02-21",,,,,,,"0.0","P,,0","0.0","P,,0"
"GQC00914001","AGAT, GU GQ","13.38944","144.6575","3.0","2010-02-22",,,,,,,"0.0","P,,0","0.0","P,,0"
"GQC00914001","AGAT, GU GQ","13.38944","144.6575","3.0","2010-02-23",,,,,,,"0.0","P,,0","0.0","P,,0"
"GQC00914001","AGAT, GU GQ","13.38944","144.6575","3.0","2010-02-24",,,,,,,"0.0","P,,0","0.0","P,,0"
"GQC00914001","AGAT, GU GQ","13.38944","144.6575","3.0","2010-02-25",,,,,,,"0.0","P,,0","0.0","P,,0"
"GQC00914001","AGAT, GU GQ","13.38944","144.6575","3.0","2010-02-26",,,,,,,"0.0","P,,0","0.0","P,,0"
"GQC00914001","AGAT, GU GQ","13.38944","144.6575","3.0","2010-02-27",,,,,,,"0.0","P,,0","0.0","P,,0"
"GQC00914001","AGAT, GU GQ","13.38944","144.6575","3.0","2010-02-28",,,,,,,"0.0","P,,0","0.0","P,,0"
"GQC00914001","AGAT, GU GQ","13.38944","144.6575","3.0","2010-03-01",,,,,,,"0.0","P,,0","0.0","P,,0"
"GQC00914001","AGAT, GU GQ","13.38944","144.6575","3.0","2010-03-02",,,,,,,"0.0","P,,0","0.0","P,,0"
"GQC00914001","AGAT, GU GQ","13.38944","144.6575","3.0","2010-03-03",,,,,,,"0.0","P,,0","0.0","P,,0"
"GQC00914001","AGAT, GU GQ","13.38944","144.6575","3.0","2010-03-04","   13",",,0","24.6",",,0",,,"0.0","P,,0","0.0","P,,0"
