ID,UNIQUEID,POLYGONID,AREA,PERIMETER,ACRES,ISLAND,M_STRUCT,D_STRUCT,M_COVER,P_COVER,ZONE,COVER_TYPE,_Pleasecou,_Pleasesum,_Pleasemea,Site Name,Longitude,Latitude,intersection_area
"2353","2353","41",39483.525,854.382,9.756,Guam,Coral Reef and Hardbottom,Individual Patch Reef,Coral,50%-<90%,Reef Flat,Coral 50%-<90%,,,,Middle Shoals,144.6566,13.4491,"1297"
"2353","2353","41",39483.525,854.382,9.756,Guam,Coral Reef and Hardbottom,Individual Patch Reef,Coral,50%-<90%,Reef Flat,Coral 50%-<90%,,,,Middle Shoals,144.6572,13.4497,"15073"
"2353","2353","41",39483.525,854.382,9.756,Guam,Coral Reef and Hardbottom,Individual Patch Reef,Coral,50%-<90%,Reef Flat,Coral 50%-<90%,,,,Middle Shoals,144.6571,13.4496,"12479"
"2353","2353","41",39483.525,854.382,9.756,Guam,Coral Reef and Hardbottom,Individual Patch Reef,Coral,50%-<90%,Reef Flat,Coral 50%-<90%,,,,Middle Shoals,144.6575,13.4491,"12074"
"2353","2353","41",39483.525,854.382,9.756,Guam,Coral Reef and Hardbottom,Individual Patch Reef,Coral,50%-<90%,Reef Flat,Coral 50%-<90%,,,,Middle Shoals,144.6572,13.4492,"10024"
"2353","2353","41",39483.525,854.382,9.756,Guam,Coral Reef and Hardbottom,Individual Patch Reef,Coral,50%-<90%,Reef Flat,Coral 50%-<90%,,,,Middle Shoals,144.6571,13.4505,"11004"
"2353","2353","41",39483.525,854.382,9.756,Guam,Coral Reef and Hardbottom,Individual Patch Reef,Coral,50%-<90%,Reef Flat,Coral 50%-<90%,,,,Middle Shoals,144.6569,13.4496,"8829"
"2353","2353","41",39483.525,854.382,9.756,Guam,Coral Reef and Hardbottom,Individual Patch Reef,Coral,50%-<90%,Reef Flat,Coral 50%-<90%,,,,Middle Shoals,144.6572,13.449,"7305"
"2353","2353","41",39483.525,854.382,9.756,Guam,Coral Reef and Hardbottom,Individual Patch Reef,Coral,50%-<90%,Reef Flat,Coral 50%-<90%,,,,Middle Shoals,144.6571,13.4495,"11725"
"2353","2353","41",39483.525,854.382,9.756,Guam,Coral Reef and Hardbottom,Individual Patch Reef,Coral,50%-<90%,Reef Flat,Coral 50%-<90%,,,,Middle Shoals,144.6589,13.4482,"610"
"2353","2353","41",39483.525,854.382,9.756,Guam,Coral Reef and Hardbottom,Individual Patch Reef,Coral,50%-<90%,Reef Flat,Coral 50%-<90%,,,,Middle Shoals,144.6571,13.4493,"9850"
"2353","2353","41",39483.525,854.382,9.756,Guam,Coral Reef and Hardbottom,Individual Patch Reef,Coral,50%-<90%,Reef Flat,Coral 50%-<90%,,,,Middle Shoals,144.6571,13.4493,"9850"
"2353","2353","41",39483.525,854.382,9.756,Guam,Coral Reef and Hardbottom,Individual Patch Reef,Coral,50%-<90%,Reef Flat,Coral 50%-<90%,,,,Middle Shoals,144.6572,13.4492,"10024"
"2353","2353","41",39483.525,854.382,9.756,Guam,Coral Reef and Hardbottom,Individual Patch Reef,Coral,50%-<90%,Reef Flat,Coral 50%-<90%,,,,Middle Shoals,144.6569,13.4487,"1429"
"2353","2353","42",61650.436,1167.488,15.234,Guam,Coral Reef and Hardbottom,Individual Patch Reef,Coral,50%-<90%,Reef Flat,Coral 50%-<90%,,,,Middle Shoals,144.6589,13.4482,"9274"
"2664","2664","582",518293.806,9034.298,128.070,Guam,Coral Reef and Hardbottom,Pavement,Turf,90%-100%,Bank/Shelf,Turf 90%-100%,,,,Blue Hole,144.6246,13.4371,"23757"
"2664","2664","582",518293.806,9034.298,128.070,Guam,Coral Reef and Hardbottom,Pavement,Turf,90%-100%,Bank/Shelf,Turf 90%-100%,,,,Blue Hole,144.6248,13.4368,"22209"
"2664","2664","582",518293.806,9034.298,128.070,Guam,Coral Reef and Hardbottom,Pavement,Turf,90%-100%,Bank/Shelf,Turf 90%-100%,,,,Blue Hole,144.625,13.4366,"20370"
"2664","2664","582",518293.806,9034.298,128.070,Guam,Coral Reef and Hardbottom,Pavement,Turf,90%-100%,Bank/Shelf,Turf 90%-100%,,,,Blue Hole,144.6272,13.4358,"10028"
"2664","2664","582",518293.806,9034.298,128.070,Guam,Coral Reef and Hardbottom,Pavement,Turf,90%-100%,Bank/Shelf,Turf 90%-100%,,,,Blue Hole,144.6264,13.4359,"10041"
"2664","2664","582",518293.806,9034.298,128.070,Guam,Coral Reef and Hardbottom,Pavement,Turf,90%-100%,Bank/Shelf,Turf 90%-100%,,,,Blue Hole,144.628,13.4357,"9537"
"2664","2664","582",518293.806,9034.298,128.070,Guam,Coral Reef and Hardbottom,Pavement,Turf,90%-100%,Bank/Shelf,Turf 90%-100%,,,,Blue Hole,144.6275,13.4358,"9952"
"2664","2664","582",518293.806,9034.298,128.070,Guam,Coral Reef and Hardbottom,Pavement,Turf,90%-100%,Bank/Shelf,Turf 90%-100%,,,,Blue Hole,144.6267,13.4353,"710"
"2664","2664","582",518293.806,9034.298,128.070,Guam,Coral Reef and Hardbottom,Pavement,Turf,90%-100%,Bank/Shelf,Turf 90%-100%,,,,Blue Hole,144.6271,13.4359,"10648"
"2664","2664","582",518293.806,9034.298,128.070,Guam,Coral Reef and Hardbottom,Pavement,Turf,90%-100%,Bank/Shelf,Turf 90%-100%,,,,Blue Hole,144.6264,13.4361,"12608"
"2664","2664","582",518293.806,9034.298,128.070,Guam,Coral Reef and Hardbottom,Pavement,Turf,90%-100%,Bank/Shelf,Turf 90%-100%,,,,Blue Hole,144.6264,13.4359,"10041"
"2664","2664","582",518293.806,9034.298,128.070,Guam,Coral Reef and Hardbottom,Pavement,Turf,90%-100%,Bank/Shelf,Turf 90%-100%,,,,Blue Hole,144.6263,13.4357,"6005"
"2622","2622","584",19841.841,1559.301,4.903,Guam,Coral Reef and Hardbottom,Pavement,Macroalgae,10%-<50%,Reef Crest,Macroalgae 10%-<50%,,,,Orote Point,144.6257,13.4492,"1310"
"2622","2622","584",19841.841,1559.301,4.903,Guam,Coral Reef and Hardbottom,Pavement,Macroalgae,10%-<50%,Reef Crest,Macroalgae 10%-<50%,,,,Orote Point,144.6261,13.4491,"108"
"2622","2622","584",19841.841,1559.301,4.903,Guam,Coral Reef and Hardbottom,Pavement,Macroalgae,10%-<50%,Reef Crest,Macroalgae 10%-<50%,,,,Orote Point,144.6257,13.4494,"10"
"2622","2622","584",19841.841,1559.301,4.903,Guam,Coral Reef and Hardbottom,Pavement,Macroalgae,10%-<50%,Reef Crest,Macroalgae 10%-<50%,,,,Orote Point,144.626,13.4488,"3280"
"2622","2622","584",19841.841,1559.301,4.903,Guam,Coral Reef and Hardbottom,Pavement,Macroalgae,10%-<50%,Reef Crest,Macroalgae 10%-<50%,,,,Orote Point,144.6259,13.4492,"340"
"2622","2622","584",19841.841,1559.301,4.903,Guam,Coral Reef and Hardbottom,Pavement,Macroalgae,10%-<50%,Reef Crest,Macroalgae 10%-<50%,,,,Orote Point,144.6269,13.4484,"2715"
"2622","2622","584",19841.841,1559.301,4.903,Guam,Coral Reef and Hardbottom,Pavement,Macroalgae,10%-<50%,Reef Crest,Macroalgae 10%-<50%,,,,Orote Point,144.6255,13.4493,"1371"
"2163","2163","587",7391.719,1067.537,1.826,Guam,Coral Reef and Hardbottom,Aggregate Reef,Turf,50%-<90%,Bank/Shelf,Turf 50%-<90%,,,,Orote Point,144.6247,13.45,"3303"
"2163","2163","587",7391.719,1067.537,1.826,Guam,Coral Reef and Hardbottom,Aggregate Reef,Turf,50%-<90%,Bank/Shelf,Turf 50%-<90%,,,,Orote Point,144.6245,13.4499,"3452"
