system:index,salinity_0,salinity_10,salinity_2,salinity_4,salinity_6,salinity_8,water_temp_0,water_temp_10,water_temp_2,water_temp_4,water_temp_6,water_temp_8,.geo
2010030100_0_0,14657,14659,14659,14659,14659,14659,7591,7610,7605,7607,7609,7609,
2010030200_0_0,14658,14658,14658,14658,14658,14658,7618,7620,7620,7620,7620,7620,
2010030300_0_0,14655,14655,14655,14655,14655,14655,7605,7597,7603,7599,7597,7597,
2010030400_0_0,14657,14657,14657,14657,14657,14657,7542,7562,7556,7559,7561,7561,
2010030500_0_0,14663,14665,14664,14664,14664,14665,7563,7565,7563,7563,7563,7564,
2010030600_0_0,14670,14671,14671,14671,14671,14671,7475,7486,7485,7486,7486,7486,
2010030700_0_0,14661,14661,14661,14661,14661,14661,7480,7469,7476,7472,7470,7470,
2010030800_0_0,14653,14653,14653,14653,14653,14653,7494,7507,7504,7506,7507,7507,
2010030900_0_0,14656,14657,14656,14657,14657,14657,7600,7591,7598,7594,7592,7592,
2010031000_0_0,14676,14676,14676,14676,14676,14676,7711,7694,7705,7699,7695,7694,
2010031100_0_0,14713,14714,14713,14713,14713,14714,7770,7765,7768,7766,7765,7765,
2010031200_0_0,14745,14746,14745,14745,14746,14746,7843,7832,7841,7836,7833,7833,
2010031300_0_0,14791,14792,14792,14792,14792,14792,7904,7901,7905,7903,7902,7902,
2010031400_0_0,14800,14799,14800,14799,14799,14799,7835,7834,7836,7836,7835,7834,
2010031500_0_0,14824,14824,14824,14824,14824,14824,7725,7719,7725,7723,7722,7720,
2010031600_0_0,14856,14858,14858,14859,14859,14859,7524,7526,7533,7533,7533,7529,
2010031700_0_0,14865,14864,14865,14864,14864,14864,7469,7451,7463,7458,7455,7453,
2010031800_0_0,14873,14872,14873,14872,14872,14872,7392,7369,7386,7378,7373,7372,
2010031900_0_0,14876,14874,14875,14875,14875,14874,7351,7312,7339,7326,7317,7315,
2010032000_0_0,14902,14901,14902,14902,14901,14901,7226,7196,7218,7210,7204,7201,
2010032100_0_0,14914,14914,14914,14914,14914,14914,7174,7168,7173,7172,7170,7169,
2010032200_0_0,14877,14876,14876,14876,14876,14876,7342,7331,7338,7335,7333,7332,
2010032300_0_0,14856,14856,14856,14856,14856,14856,7368,7371,7370,7371,7371,7371,
2010032400_0_0,14777,14779,14778,14778,14778,14779,7527,7510,7521,7515,7512,7511,
2010032500_0_0,14775,14777,14775,14776,14776,14777,7536,7508,7529,7520,7514,7512,
2010032600_0_0,14736,14741,14737,14738,14739,14740,7536,7511,7530,7523,7517,7514,
2010032700_0_0,14783,14786,14784,14784,14785,14786,7523,7485,7513,7502,7494,7490,
2010032800_0_0,14776,14779,14776,14776,14777,14778,7559,7509,7543,7525,7513,7511,
2010032900_0_0,14740,14744,14741,14741,14742,14743,7688,7601,7651,7618,7606,7605,
2010033000_0_0,14734,14739,14734,14734,14735,14736,7674,7606,7654,7628,7613,7611,
2010033100_0_0,14775,14776,14775,14776,14776,14776,7487,7452,7480,7470,7462,7457,
2010040100_0_0,14731,14731,14731,14731,14731,14731,7517,7486,7508,7498,7492,7489,
2010040200_0_0,14701,14701,14701,14701,14701,14701,7744,7723,7738,7730,7725,7723,
2010040300_0_0,14719,14719,14719,14719,14719,14719,7762,7771,7768,7769,7770,7770,
2010040400_0_0,14746,14747,14747,14747,14747,14747,7864,7844,7859,7851,7846,7844,
2010040500_0_0,14748,14749,14748,14749,14749,14749,7856,7826,7848,7835,7828,7826,
2010040600_0_0,14788,14790,14788,14788,14789,14789,7949,7919,7939,7928,7921,7919,
2010040700_0_0,14804,14805,14804,14805,14805,14805,7985,7966,7979,7972,7968,7966,
2010040800_0_0,14795,14795,14795,14795,14795,14795,7953,7915,7942,7927,7918,7915,
2010040900_0_0,14797,14797,14797,14797,14797,14797,7839,7813,7830,7818,7813,7813,
2010041000_0_0,14775,14775,14775,14775,14775,14775,7922,7890,7915,7901,7893,7890,
2010041100_0_0,14770,14771,14770,14770,14770,14770,7942,7913,7936,7926,7920,7917,
2010041200_0_0,14770,14770,14770,14770,14770,14770,7920,7897,7914,7907,7902,7900,
2010041300_0_0,14776,14776,14776,14776,14776,14776,7838,7821,7832,7827,7824,7823,
2010041400_0_0,14789,14789,14789,14789,14789,14789,7772,7750,7766,7759,7754,7753,
2010041500_0_0,14804,14804,14804,14804,14804,14804,7815,7800,7809,7804,7801,7800,
2010041600_0_0,14802,14803,14802,14803,14803,14803,7963,7938,7956,7946,7940,7938,
2010041700_0_0,14799,14801,14800,14800,14800,14801,7971,7958,7969,7964,7960,7958,
2010041800_0_0,14802,14801,14802,14802,14802,14802,7972,7946,7965,7957,7951,7949,
2010041900_0_0,14819,14820,14819,14820,14820,14820,8029,8000,8022,8012,8005,8003,
2010042000_0_0,14838,14838,14838,14838,14838,14838,8046,8035,8044,8040,8037,8037,
2010042100_0_0,14846,14847,14846,14847,14847,14847,8089,8060,8081,8071,8064,8063,
2010042200_0_0,14840,14841,14840,14841,14841,14841,7996,7986,7993,7989,7987,7987,
2010042300_0_0,14833,14835,14834,14834,14835,14835,7998,7960,7987,7975,7966,7964,
2010042400_0_0,14817,14819,14818,14818,14818,14819,7964,7900,7946,7927,7912,7903,
2010042500_0_0,14806,14809,14806,14806,14807,14808,7979,7887,7938,7903,7889,7887,
2010042600_0_0,14772,14773,14772,14772,14772,14773,7988,7913,7965,7942,7924,7913,
2010042700_0_0,14721,14720,14721,14721,14721,14720,8013,7957,7996,7976,7961,7960,
2010042800_0_0,14637,14634,14637,14637,14636,14634,7950,7891,7933,7908,7891,7891,
2010042900_0_0,14567,14565,14567,14567,14566,14565,7993,7920,7946,7914,7914,7920,
2010043000_0_0,14563,14561,14563,14562,14562,14561,7945,7890,7925,7907,7891,7891,
2010050100_0_0,14547,14546,14547,14547,14547,14546,8068,7996,8042,8012,7996,7996,
2010050200_0_0,14537,14535,14537,14537,14536,14535,8137,8112,8130,8122,8114,8113,
2010050300_0_0,14545,14544,14545,14545,14545,14544,8089,8055,8078,8067,8056,8056,
2010050400_0_0,14538,14538,14539,14539,14539,14538,8146,8114,8135,8125,8115,8115,
2010050500_0_0,14524,14523,14524,14524,14524,14523,8216,8158,8193,8175,8159,8158,
2010050600_0_0,14506,14505,14506,14506,14505,14505,8246,8214,8235,8224,8214,8214,
2010050700_0_0,14511,14509,14511,14511,14510,14509,8248,8215,8240,8228,8218,8217,
2010050800_0_0,14501,14499,14501,14500,14500,14499,8226,8193,8210,8193,8193,8193,
2010050900_0_0,14498,14499,14498,14498,14498,14499,8157,8143,8156,8151,8147,8146,
2010051000_0_0,14517,14516,14517,14516,14516,14516,8162,8105,8149,8126,8113,8111,
2010051100_0_0,14537,14537,14537,14537,14537,14537,8282,8221,8264,8241,8223,8222,
2010051200_0_0,14541,14541,14541,14541,14541,14541,8315,8236,8285,8259,8237,8237,
2010051300_0_0,14555,14554,14555,14555,14555,14554,8355,8314,8323,8296,8296,8314,
2010051400_0_0,14564,14564,14564,14564,14564,14564,8234,8200,8223,8211,8201,8201,
2010051500_0_0,14557,14556,14557,14557,14557,14556,8369,8251,8312,8266,8252,8252,
2010051600_0_0,14546,14546,14546,14546,14546,14546,8372,8315,8344,8330,8317,8317,
2010051700_0_0,14501,14501,14501,14501,14501,14501,8577,8566,8568,8559,8559,8566,
2010051800_0_0,14486,14483,14486,14485,14485,14483,8687,8654,8655,8629,8629,8654,
2010051900_0_0,14486,14485,14486,14486,14486,14485,8747,8673,8697,8659,8659,8673,
2010052000_0_0,14489,14487,14489,14489,14488,14487,8813,8770,8781,8752,8752,8770,
2010052100_0_0,14491,14490,14491,14491,14491,14490,8897,8809,8841,8810,8809,8809,
2010052200_0_0,14496,14495,14496,14496,14496,14495,8859,8815,8827,8800,8800,8815,
2010052300_0_0,14502,14502,14502,14502,14502,14502,8823,8756,8786,8760,8756,8756,
2010052400_0_0,14504,14504,14504,14504,14504,14504,8825,8788,8812,8794,8788,8788,
2010052500_0_0,14500,14499,14500,14500,14500,14499,8903,8889,8886,8870,8870,8889,
2010052600_0_0,14493,14491,14493,14492,14492,14491,9008,8939,8975,8943,8939,8939,
2010052700_0_0,14492,14490,14492,14491,14491,14490,8993,8930,8963,8930,8930,8930,
2010052800_0_0,14495,14494,14495,14495,14495,14494,9037,8956,8999,8960,8956,8956,
2010052900_0_0,14499,14501,14499,14500,14500,14501,9190,9093,9134,9099,9093,9093,
2010053000_0_0,14517,14517,14517,14517,14517,14517,9330,9196,9245,9201,9196,9196,
2010053100_0_0,14535,14536,14535,14535,14535,14535,9501,9358,9433,9396,9364,9362,
2010060100_0_0,14558,14558,14558,14558,14558,14558,9538,9454,9503,9477,9455,9455,
2010060200_0_0,14580,14580,14580,14580,14580,14580,9565,9505,9539,9516,9506,9505,
2010060300_0_0,14607,14608,14607,14607,14607,14608,9512,9443,9479,9453,9444,9444,
2010060400_0_0,14619,14620,14619,14619,14620,14620,9562,9485,9528,9490,9485,9485,
2010060500_0_0,14628,14629,14628,14628,14629,14629,9558,9512,9544,9526,9512,9512,
2010060600_0_0,14651,14654,14651,14652,14653,14653,9559,9520,9540,9520,9520,9520,
2010060700_0_0,14686,14685,14686,14686,14686,14685,9637,9584,9611,9580,9580,9584,
2010060800_0_0,14685,14684,14685,14685,14685,14684,9785,9721,9764,9726,9721,9721,
2010060900_0_0,14643,14643,14643,14643,14643,14643,9839,9795,9815,9785,9785,9795,
2010061000_0_0,14596,14599,14597,14597,14598,14598,9846,9785,9798,9774,9774,9785,
2010061100_0_0,14610,14612,14611,14611,14612,14612,9862,9758,9791,9749,9749,9758,
2010061200_0_0,14608,14608,14608,14608,14608,14608,9861,9797,9825,9788,9788,9797,
2010061300_0_0,14623,14622,14622,14622,14622,14622,9857,9840,9839,9815,9815,9840,
2010061400_0_0,14640,14639,14639,14639,14639,14639,9891,9867,9882,9868,9867,9867,
2010061500_0_0,14665,14664,14665,14665,14665,14664,9915,9917,9904,9884,9884,9917,
2010061600_0_0,14693,14693,14693,14693,14693,14693,9928,9933,9919,9901,9901,9933,
2010061700_0_0,14687,14691,14688,14689,14691,14691,9854,9839,9849,9842,9839,9839,
2010061800_0_0,14695,14694,14695,14695,14695,14694,9842,9809,9835,9821,9809,9809,
2010061900_0_0,14704,14703,14703,14703,14703,14703,9879,9858,9874,9866,9859,9858,
2010062000_0_0,14690,14694,14692,14693,14694,14694,9879,9874,9874,9866,9866,9874,
2010062100_0_0,14708,14708,14708,14708,14708,14708,9920,9937,9913,9898,9898,9937,
2010062200_0_0,14707,14709,14708,14708,14709,14709,9957,9944,9952,9943,9943,9944,
2010062300_0_0,14711,14713,14712,14713,14713,14713,9942,9918,9934,9925,9918,9918,
2010062400_0_0,14711,14714,14712,14713,14714,14714,9925,9912,9912,9898,9898,9912,
2010062500_0_0,14708,14712,14709,14710,14712,14712,9918,9902,9912,9905,9902,9902,
2010062600_0_0,14696,14698,14697,14697,14698,14698,9806,9797,9804,9800,9797,9797,
2010062700_0_0,14684,14685,14684,14684,14684,14685,9783,9767,9779,9773,9767,9767,
2010062800_0_0,14662,14658,14662,14661,14661,14658,9705,9683,9683,9654,9654,9683,
2010062900_0_0,14636,14633,14636,14636,14635,14633,9620,9581,9591,9558,9558,9581,
2010063000_0_0,14621,14618,14621,14621,14621,14618,9488,9450,9457,9437,9437,9450,
2010070100_0_0,14623,14623,14623,14623,14623,14623,9536,9484,9500,9469,9469,9484,
2010070200_0_0,14621,14622,14621,14622,14622,14622,9599,9560,9565,9548,9548,9560,
2010070300_0_0,14633,14636,14634,14635,14636,14636,9611,9584,9595,9584,9584,9584,
2010070400_0_0,14631,14634,14632,14633,14634,14634,9662,9629,9639,9621,9621,9629,
2010070500_0_0,14634,14635,14634,14634,14634,14634,9658,9637,9651,9639,9637,9637,
2010070600_0_0,14611,14614,14612,14613,14614,14614,9633,9655,9631,9628,9628,9655,
2010070700_0_0,14614,14613,14614,14614,14614,14613,9747,9734,9744,9739,9734,9734,
2010070800_0_0,14611,14610,14611,14611,14611,14610,9785,9782,9779,9768,9768,9782,
2010070900_0_0,14625,14626,14625,14626,14626,14626,9717,9700,9714,9707,9701,9700,
2010071000_0_0,14614,14620,14616,14618,14619,14619,9733,9655,9701,9677,9656,9655,
2010071100_0_0,14623,14630,14625,14627,14629,14629,9636,9640,9636,9632,9632,9640,
2010071200_0_0,14659,14659,14659,14659,14659,14659,9671,9601,9641,9604,9601,9601,
2010071300_0_0,14659,14661,14660,14660,14661,14661,9636,9613,9630,9615,9613,9613,
2010071400_0_0,14606,14612,14608,14610,14611,14611,9688,9655,9680,9666,9656,9656,
2010071500_0_0,14624,14626,14624,14625,14626,14626,9728,9692,9707,9678,9678,9692,
2010071600_0_0,14651,14652,14651,14651,14651,14651,9738,9680,9718,9696,9681,9680,
2010071700_0_0,14655,14658,14656,14657,14658,14658,9732,9710,9714,9697,9697,9710,
2010071800_0_0,14639,14646,14642,14643,14645,14646,9797,9783,9785,9775,9775,9783,
2010071900_0_0,14652,14654,14653,14653,14654,14654,9792,9789,9785,9771,9771,9789,
2010072000_0_0,14663,14666,14664,14665,14666,14666,9847,9826,9842,9833,9827,9827,
2010072100_0_0,14661,14666,14663,14664,14665,14666,9849,9834,9846,9839,9834,9834,
2010072200_0_0,14670,14671,14670,14671,14671,14671,9855,9807,9816,9797,9797,9807,
2010072300_0_0,14671,14672,14671,14671,14672,14672,9837,9780,9796,9766,9766,9780,
2010072400_0_0,14668,14670,14669,14670,14670,14670,9803,9786,9796,9782,9782,9786,
2010072500_0_0,14665,14662,14665,14665,14665,14662,9791,9770,9786,9772,9770,9770,
2010072600_0_0,14641,14638,14641,14641,14641,14638,9820,9798,9815,9806,9799,9799,
